1: Homo_sapiens
824: Blattabacterium_sp.
825: Blautia_hansenii
826: Blautia_hydrogenotrophica
827: Blautia_obeum
828: Blautia_producta
829: Blautia_schinkii
830: Blochmannia_endosymbiont
831: Bordetella_avium
832: Bordetella_bronchialis
833: Bordetella_bronchiseptica
834: Bordetella_genomosp.
835: Bordetella_hinzii
836: Bordetella_holmesii
837: Bordetella_parapertussis
838: Bordetella_pertussis
839: Bordetella_petrii
840: Bordetella_trematum
841: Borrelia_afzelii
842: Borrelia_anserina
843: Borrelia_burgdorferi
844: Borrelia_coriaceae
845: Borrelia_duttonii
846: Borrelia_hermsii
847: Borrelia_hispanica
848: Borrelia_mayonii
849: Borrelia_miyamotoi
850: Borrelia_persica
851: Borrelia_turicatae
852: Borreliella_bissettii
853: Borreliella_garinii
854: Borreliella_japonica
855: Borreliella_spielmanii
856: Borreliella_valaisiana
857: Bosea_lupini
858: Bosea_robiniae
859: Bosea_thiooxidans
860: Bosea_vaviloviae
861: Brachybacterium_faecium
862: Brachybacterium_massiliense
863: Brachybacterium_muris
864: Brachybacterium_nesterenkovii
865: Brachybacterium_paraconglomeratum
866: Brachybacterium_phenoliresistens
867: Brachybacterium_squillarum
868: Brachymonas_chironomi
869: Brachymonas_denitrificans
870: Brachyspira_alvinipulli
871: Brachyspira_hyodysenteriae
872: Brachyspira_murdochii
873: Brachyspira_pilosicoli
874: Brackiella_oedipodis
875: Bradyrhizobium_diazoefficiens
876: Bradyrhizobium_elkanii
877: Bradyrhizobium_erythrophlei
878: Bradyrhizobium_icense
879: Bradyrhizobium_japonicum
880: Bradyrhizobium_lablabi
881: Bradyrhizobium_neotropicale
882: Bradyrhizobium_oligotrophicum
883: Bradyrhizobium_valentinum
884: Brenneria_goodwinii
885: Brevefilum_fermentans
886: Brevibacillus_agri
887: Brevibacillus_borstelensis
888: Brevibacillus_brevis
889: Brevibacillus_choshinensis
890: Brevibacillus_laterosporus
891: Brevibacillus_massiliensis
892: Brevibacillus_panacihumi
893: Brevibacillus_thermoruber
894: Brevibacterium_album
895: Brevibacterium_casei
896: Brevibacterium_linens
897: Brevibacterium_mcbrellneri
898: Brevibacterium_ravenspurgense
899: Brevibacterium_sandarakinum
900: Brevibacterium_senegalense
901: Brevibacterium_yomogidense
902: Brevinema_andersonii
903: Brevundimonas_abyssalis
904: Brevundimonas_aveniformis
905: Brevundimonas_bacteroides
906: Brevundimonas_naejangsanensis
907: Brevundimonas_subvibrioides
908: Brevundimonas_vesicularis
909: Brevundimonas_viscosa
910: Brochothrix_campestris
911: Brochothrix_thermosphacta
912: Brucella_melitensis
913: Bryobacter_aggregatus
914: Buchnera_aphidicola
915: Budvicia_aquatica
916: Bulleidia_extructa
917: Burkholderia_cepacia
918: Burkholderia_gladioli
919: Burkholderia_mallei
920: Burkholderia_pseudomallei
921: Burkholderia_ubonensis
922: Buttiauxella_ferragutiae
